"fatal","lowdem","terr500k10yr","interaction4","defense","caprat","contig","pnbdem_low","peaceyears","spline1","spline2","spline3"
1,-5,0,0,1,0.348282426595688,1,0.200000002980232,0,0,0,0
1,-9,3,-27,0,0.0597663000226021,0,0.25,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,7,0,0,1,0.350270599126816,1,0.400000005960464,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-7,9,-63,0,0.0954658910632133,1,0.200000002980232,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-9,0,0,0,0.698586583137512,0,0.28571429848671,59,-63846.75,-120286.015625,-153246.359375
1,2,0,0,0,0.163211956620216,1,0,10,-948.756774902344,-897.297302246094,-805.405395507812
1,-9,0,0,0,0.331207633018494,1,0,11,-1246.44323730469,-1194.302734375,-1071.99462890625
1,-10,0,0,1,0.640862345695496,1,0.117647096514702,59,-63846.75,-120286.015625,-153246.359375
1,-7,5,-35,0,0.337921023368835,0,0.300000011920929,40,-28464.43359375,-48166.02734375,-51481.9453125
1,-7,9,-63,0,0.12125201523304,1,0,21,-6663.5244140625,-8301.8701171875,-7458.859375
1,10,0,0,1,0.000368052977137268,0,1,29,-14073.33984375,-20884.18359375,-19643.033203125
1,-7,0,0,0,0.524635672569275,1,0,0,0,0,0
1,-9,0,0,0,0.0788330137729645,0,0.25,55,-55357.40625,-102631.84375,-127140.328125
1,0,10,0,0,0.162934139370918,1,0.111111111938953,0,0,0,0
1,-6,7,-42,0,0.267861992120743,1,0,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-9,5,-45,0,0.681169927120209,1,0.25,0,0,0,0
1,-8,10,-80,0,0.575073897838593,1,0.25,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-8,10,-80,0,0.547822177410126,1,0.25,0,0,0,0
1,-9,0,0,0,0.647047996520996,1,0.333333313465118,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-7,0,0,0,0.259153783321381,1,0.636363625526428,0,0,0,0
1,-8,1,-8,1,0.474211990833282,1,0,0,0,0,0
1,-8,0,0,0,0.665767669677734,1,0,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-7,5,-35,0,0.0545129552483559,1,0,25,-10036.32421875,-13804.2705078125,-12584.458984375
1,6,0,0,1,0.741506636142731,1,0.333333343267441,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-7,0,0,0,0.0513320341706276,0,0.333333343267441,21,-6663.5244140625,-8301.8701171875,-7458.859375
1,-5,0,0,0,0.102478355169296,1,0,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-7,0,0,1,0.419019311666489,1,0.125,0,0,0,0
1,-6,7,-42,0,0.0177901480346918,0,0.300000011920929,18,-4579.80517578125,-5233.03759765625,-4697.12451171875
1,-8,0,0,0,0.066006600856781,0,0,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-9,2,-18,1,0.987702429294586,0,0.28571429848671,31,-16335.740234375,-25003.3828125,-23993.83203125
1,1,10,10,0,0.213201761245728,1,0.111111111938953,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-6,0,0,0,0.178352609276772,1,0,0,0,0,0
1,-6,0,0,0,0.122697524726391,1,0.125,0,0,0,0
1,-9,0,0,0,0.71926611661911,1,0,6,-206.659454345703,-193.816223144531,-173.967575073242
1,-8,10,-80,0,0.0249947644770145,0,0.25,14,-2409.34057617188,-2462.18383789062,-2210.03247070312
0,8,0,0,0,0.00105509429704398,0,0.769230782985687,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
